region,count,mean,std,min,25%,50%,75%,max
Africa,90.0,42.39988888888889,21.001888117069324,3.64,24.885,43.5,59.635000000000005,90.95
Asia,240.0,22.339458333333333,13.249746572074427,0.75,12.77,21.325000000000003,29.785,62.91
Europe,445.0,10.602629213483146,5.99045675434864,1.55,6.23,9.01,13.8,39.04
Latin America,197.0,31.42137055837563,13.20013070628493,4.55,20.68,30.36,40.59,62.56
North America,34.0,10.756470588235295,2.701676115385052,6.26,8.09,11.685,12.522499999999999,14.84
